F659,236
F65A,198
F65B,199
F748,142
F749,←
F74A,→
F74B,←
F74C,→
F74D,■
F74E,■
F74F,131
F69A,064
F6EA,141
F796,143
F65E,147
F65F,245
F750,■
F751,■
F752,◆
F753,◆
F754,■
F755,■
F756,148
F757,148
F797,237
F758,＋
F759,－
F75A,223
F75B,005
F75C,004
F75D,015
F75E,004
F75F,005
F760,004
F761,005
F762,◆
F763,◆
F764,■
F765,■
F766,148
F767,148
F768,008
F769,007
F660,239
F693,207
F7B1,032
F661,147
F6EB,017
F77C,031
F6D3,039
F7B2,122
F69B,065
F6EC,033
F76A,218
F76B,×
F77D,140
F798,191
F654,191
F662,243
F76C,×
F76D,×
F76E,→
F76F,←
F69C,063
F770,÷
F6D4,074
F663,223
F771,009
F772,006
F6ED,188
F773,176
F6B8,049
F640,☆彡
F644,115
F64E,098
F6B9,051
F6D5,074
F774,047
F775,189
F674,014
F7B3,216
F776,▲
F777,▼
F675,019
F781,140
F7B4,062
F6EE,024
F664,241
F782,019
F65C,157
F642,203
F783,019
F784,019
F785,019
F786,157
F6EF,116
F676,217
F665,240
F6FA,136
F79A,250
E517,154
F79B,154
F684,126
F6BD,224
F6D7,072
F778,└>
F779,003
F6F1,193
F6F2,134
F788,019
F677,019
F6F3,020
F68A,227
F6F4,182
F7A0,098
F789,019
F77A,031
F6A7,139
F6BA,049
F77B,202
F78A,031
F6F5,134
F7A2,143
F6D8,←
F6D9,→
F78B,019
F678,031
F6A8,184
F685,186
F78C,019
F679,177
F7AE,137
F7A4,248
F7AF,137
F7B0,137
F6F7,216
F686,022
F7A5,179
F7A7,∞
F6F8,184
F6F9,096
F666,240
F68C,235
F68D,234
F68E,226
F7A9,　
F7AA,
F655,204
F656,159
F657,247
F6FB,163
F6FC,164
F740,165
F741,166
F742,167
F743,168
F744,169
F745,170
F746,171
F747,[10]
F641,244
F65D,243
F667,034
F668,035
F669,036
F66A,037
F66B,038
F66C,039
F66D,040
F66E,041
F66F,042
F670,043
F671,044
F672,045
F67B,013
F67C,046
F67D,219
F67E,174
F682,233
F683,016
F78E,114
F687,232
F688,230
F689,231
F643,215
F68F,208
F690,209
F691,213
F692,211
F645,025
F695,206
F696,066
F697,029
F698,158
F69F,113
F6A0,143
F6A2,249
F6A3,028
F6A9,103
F6AB,105
F6AC,054
F6AE,107
F6AF,099
F6B1,050
F6B4,048
F6B5,052
F6B7,053
F6BB,238
F649,074
F64A,083
F64B,090
F64C,095
F64D,153
F6BE,152
F6BF,151
F6C0,091
F64F,125
F650,124
F651,115
F652,018
F653,018
F6C3,122
F6C4,135
F6C6,244
F6C7,108
F6CA,194
F6CC,118
F6CD,058
F6CE,219
F6CF,005
F6D0,[得]
F6D2,121
F6DB,225
F6DC,141
F6DD,144
F6DE,161
F6E1,155
F6E2,190
F794,[EZ]
F795,109
F6E5,026
F6E6,196
F6E8,[UP!]
F7B5,246
F7B6,214
F7B7,210
F7B8,181
F7B9,012
F7BA,061
F7BB,070
F7BC,187
F7BD,102
F7BE,220
F7BF,223
F7C0,221
F7C1,071
F7C2,067
F7C3,120
F7C4,117
F7C5,148
F7C6,145
F7C7,146
F7C8,030
F7C9,162
F7CA,172
F7CB,095
F7CC,123
F7CD,130
F7CE,150
F7D1,101
F7E5,156
F7E6,196
F7E7,197
F7E8,175
F7EA,224
F7EC,229
F7ED,111
F7EE,160
F7F0,038
F7F3,077
F7F4,078
F7F5,094
F7F6,086
F7F9,056
F7FA,135
F340,139
F341,014
F345,[VS]
F346,056
F34B,206
F34E,051
F351,182
F352,127
F353,192
F354,128
F355,233
F356,[18禁]
F358,[COOL]
F359,[割]
F35B,129
F35C,112
F35D,068
F35E,[指]
F35F,[営]
F360,↑
F361,↓
F364,[OFF]
F365,140
F367,224
F36A,066
F36B,063
F36C,[祝]
F371,061
F372,020
F374,116
F375,116
F378,222
F379,123
F37A,122
F37B,122
F37C,122
F37D,122
F37E,115
F380,212
F381,○
F382,133
F383,100
F388,107
F389,107
F38A,107
F38B,107
F38C,107
F38D,104
F391,107
F392,107
F393,089
F394,080
F395,093
F396,082
F397,081
F398,153
F399,076
F39A,094
F39B,095
F39C,[熱]
F39D,079
F39E,095
F39F,087
F3A0,161
F3A1,074
F3A2,(＞３＜)
F3A3,(´３｀)
F3A4,[鼻]
F3A5,135
F3A6,(＞人＜)
F3A7,(ﾟ∀ﾟﾉﾉﾞ＜ﾊﾟﾁﾊﾟﾁｯ
F3A8,172
F3A9,004
F3AA,117
F3AB,157
F3AC,172
F3AD,m(_ _)m
F3AE,123
F3B4,127
F3BC,242
F3C3,149
F3C4,249
F3C5,158
F3C7,128
F3C8,239
F3C9,061
F3CD,022
F7D3,134
F7D4,[英大]
F7D5,[英小]
F7D6,[数]
F7D7,[記号]
F7D8,[可]
F7DA,176
F7DC,193
F7DD,003
F7DF,180
F7E0,126
F7E1,127
F7E2,140
F7E3,134
F7E4,185
F3E7,[A]
F3E8,[B]
F3E9,[O]
F3EA,[AB]
F3EB,108
F3EC,197
F3ED,097
F3EE,005
F3EF,004
F3F0,199
F3F1,200
F3F2,202
F3F6,106
F442,065
F446,045
F44B,091
F44C,053
F44D,224
F44F,103
F454,(/_＼)
F455,(・x・)
F456,|(・x・)|
F457,111
F458,122
F459,[ABC]
F45E,104
F460,095
F461,084
F462,084
F463,158
F464,(´З｀)
F465,074
F466,137
F467,075
F468,075
F469,078
F46A,081
F46B,081
F46C,085
F46D,185
F46E,073
F475,136
F476,215
F479,123
F47A,051
F47B,059
F47C,138
F47D,185
F47E,011
F480,010
F481,238
F482,021
F483,055
F484,073
F485,073
F486,136
F487,033
F488,119
F489,195
F48A,(^o^)ノ
F48B,＼(^ｏ^)／
F48C,081
F48D,084
