001,&#xE70C;,[iｱﾌﾟﾘ],[iｱﾌﾟﾘ]
002,&#xE70D;,[iｱﾌﾟﾘ],[iｱﾌﾟﾘ]
003,&#xE6DA;,&#xE55D;,&#xE230;
004,&#xE700;,&#xEB2E;,&#xE238;
005,&#xE6F5;,&#xEB2D;,&#xE236;
006,&#xE6A5;,&#xE556;,&#xE239;
007,&#xE696;,&#xE54D;,&#xE238;
008,&#xE697;,&#xE54C;,&#xE237;
009,&#xE678;,&#xE555;,&#xE236;
010,&#xE73D;,&#xEB7B;,↑↓
011,&#xE73C;,&#xEB7A;,⇔
012,&#xE67B;,&#xE59C;,&#xE502;
013,&#xE668;,&#xE4A3;,&#xE154;
014,&#xE682;,&#xE49C;,&#xE323;
015,&#xE738;,&#xE541;,&#xE333;
016,&#xE667;,&#xE4AA;,&#xE14D;
017,&#xE713;,&#xE512;,&#xE325;
018,&#xE6FE;,&#xE47A;,&#xE311;
019,&#xE683;,&#xE49F;,&#xE148;
020,&#xE674;,&#xE51A;,&#xE13E;
021,&#xE746;,&#xEB7D;,&#xE110;
022,&#xE664;,&#xE4AD;,&#xE038;
023,&#xE6D4;,[ﾄﾞｺﾓ],[ﾄﾞｺﾓ]
024,&#xE681;,&#xE515;,&#xE008;
025,&#xE679;,&#xE46D;,&#xE124;
026,&#xE68C;,&#xE50C;,&#xE126;
027,&#xE6B2;,[ｲｽ],&#xE11F;
028,&#xE748;,&#xE4CA;,&#xE030;
029,&#xE6AC;,&#xE4BE;,&#xE324;
030,&#xE6DB;,&#xE5AB;,[ｸﾘｱ]
031,&#xE730;,&#xE4A0;,[ｸﾘｯﾌﾟ]
032,&#xE6BA;,&#xE594;,&#xE02D;
033,&#xE741;,&#xE513;,&#xE110;
034,&#xE646;,&#xE48F;,&#xE23F;
035,&#xE647;,&#xE490;,&#xE240;
036,&#xE648;,&#xE491;,&#xE241;
037,&#xE649;,&#xE492;,&#xE242;
038,&#xE64A;,&#xE493;,&#xE243;
039,&#xE64B;,&#xE494;,&#xE244;
040,&#xE64C;,&#xE495;,&#xE245;
041,&#xE64D;,&#xE496;,&#xE246;
042,&#xE64E;,&#xE497;,&#xE247;
043,&#xE64F;,&#xE498;,&#xE248;
044,&#xE650;,&#xE499;,&#xE249;
045,&#xE651;,&#xE49A;,&#xE24A;
046,&#xE66A;,&#xE4A4;,&#xE156;
047,&#xE731;,&#xE558;,&#xE24E;
048,&#xE6A2;,&#xE4DB;,&#xE04F;
049,&#xE6A1;,&#xE4E1;,&#xE052;
050,&#xE754;,&#xE4D8;,&#xE01A;
051,&#xE74F;,&#xE4E0;,&#xE523;
052,&#xE750;,&#xE4DC;,&#xE055;
053,&#xE755;,&#xE4DE;,&#xE10B;
054,&#xE751;,&#xE49A;,&#xE019;
055,&#xE74E;,&#xEB7E;,
056,&#xE71A;,&#xE5C9;,&#xE10E;
057,&#xE6F8;,&#xE59F;,&#xE314;
058,&#xE708;,&#xE4F4;,&#xE330;
059,&#xE711;,&#xEB77;,
060,&#xE714;,&#xE52E;,&#xE23A;
061,&#xE67C;,&#xEAF5;,&#xE503;
062,&#xE670;,&#xE597;,&#xE045;
063,&#xE672;,&#xE4C3;,&#xE047;
064,&#xE756;,&#xE4C1;,&#xE044;
065,&#xE671;,&#xE4C2;,&#xE044;
066,&#xE74B;,&#xEA97;,&#xE30B;
067,&#xE692;,&#xE5A5;,&#xE41B;
068,&#xE739;,&#xEA8A;,&#xE22B;
069,&#xE6B9;,[END],[END]
070,&#xE67D;,&#xE59E;,&#xE32F;
071,&#xE691;,&#xE5A4;,&#xE419;
072,&#xE69A;,&#xE4FE;,[ﾒｶﾞﾈ]
073,&#xE6F0;,&#xE471;,&#xE415;
074,&#xE6F0;,&#xEACD;,&#xE414;
075,&#xE72A;,&#xEAC5;,&#xE40A;
076,&#xE721;,&#xEAC5;,&#xE40A;
077,&#xE729;,&#xE5C3;,&#xE405;
078,&#xE726;,&#xE5C4;,&#xE106;
079,&#xE725;,&#xEAC9;,&#xE40E;
080,&#xE6F2;,&#xEAC0;,&#xE058;
081,&#xE6F3;,&#xEAC3;,&#xE407;
082,&#xE72B;,&#xEAC2;,&#xE406;
083,&#xE6F1;,&#xE472;,&#xE059;
084,&#xE724;,&#xEB5D;,&#xE416;
085,&#xE72E;,&#xEB69;,&#xE413;
086,&#xE723;,&#xE5C6;,&#xE108;
087,&#xE722;,&#xF7CE;,&#xE331;
088,&#xE720;,&#xEAC0;,&#xE403;
089,&#xE72C;,&#xEABF;,&#xE402;
090,&#xE72D;,&#xE473;,&#xE411;
091,&#xE728;,&#xE4E7;,&#xE105;
092,&#xE752;,&#xEACD;,&#xE056;
093,&#xE753;,&#xEB80;,&#xE404;
094,&#xE757;,&#xE5C5;,&#xE107;
095,&#xE6F4;,&#xE5AE;,&#xE406;
096,&#xE6D0;,&#xE520;,&#xE00B;
097,&#xE6DE;,&#xEB2C;,[旗]
098,&#xE6FB;,&#xE476;,&#xE10F;
099,&#xE673;,&#xE4D6;,&#xE120;
100,&#xE74D;,&#xEAAF;,&#xE339;
101,&#xE74C;,&#xE5B4;,&#xE340;
102,&#xE686;,&#xE5A0;,&#xE34B;
103,&#xE74A;,&#xE4D0;,&#xE046;
104,&#xE745;,&#xEAB9;,&#xE345;
105,&#xE742;,&#xE4D2;,
106,&#xE744;,&#xEB35;,
107,&#xE749;,&#xE4D5;,&#xE342;
108,&#xE698;,&#xEB2A;,&#xE536;
109,&#xE6D7;,&#xE578;,&#xE216;
110,&#xE6DF;,[ﾌﾘｰﾀﾞｲﾔﾙ];,&#xE211;
111,&#xE740;,&#xE5BD;,&#xE03B;
112,&#xE73B;,&#xEA89;,&#xE22A;
113,&#xE68B;,&#xE4C6;,[ｹﾞｰﾑ]
114,&#xE66B;,&#xE571;,&#xE03A;
115,&#xE6FA;,&#xEAAB;,&#xE32E;
116,&#xE675;,&#xE516;,&#xE313;
117,&#xE695;,&#xE5A7;,&#xE012;
118,&#xE6FD;,&#xE4F3;,&#xE00D;
119,&#xE693;,&#xEB83;,&#xE010;
120,&#xE694;,&#xE5A6;,&#xE011;
121,&#xE727;,&#xE4F9;,&#xE00E;
122,&#xE6EC;,&#xE595;,&#xE022;
123,&#xE6ED;,&#xEB75;,&#xE327;
124,&#xE6EF;,&#xE478;,&#xE327;
125,&#xE6EE;,&#xE477;,&#xE023;
126,&#xE663;,&#xE4AB;,&#xE036;
127,&#xE666;,&#xE5DF;,&#xE155;
128,&#xE669;,&#xEA81;,&#xE158;
129,&#xE6D8;,&#xEA88;,&#xE229;
130,&#xE705;,&#xE5B0;,&#xE311
131,&#xE6D1;,[i],[i]
132,&#xE6D2;,[i],[i]
133,&#xE71E;,&#xEAAE;,&#xE338;
134,&#xE6D9;,&#xE519;,&#xE03F;
135,&#xE6F9;,&#xE4EB;,&#xE003;
136,&#xE6D3;,&#xE521;,&#xE103;
137,&#xE6CF;,&#xEB62;,&#xE103;
138,&#xE717;,&#xEB78;,&#xE328;
139,&#xE747;,&#xE4CE;,&#xE118;
140,&#xE689;,&#xEA92;,&#xE301;
141,&#xE676;,&#xE503;,&#xE03C;
142,&#xE6E1;,&#xE52C;,[Q]
143,&#xE715;,&#xE4C7;,&#xE12F;
144,&#xE70F;,&#xE504;,&#xE12F
145,&#xE69D;,&#xE5A9;,&#xE04C;
146,&#xE69E;,&#xE5AA;,&#xE04C;
147,&#xE69F;,&#xE486;,&#xE04C;
148,&#xE69C;,&#xE5A8;,●
149,&#xE6A0;,○,○
150,&#xE706;,&#xE5B1;,&#xE331;
151,&#xE707;,&#xE4E6;,&#xE331;
152,&#xE6FC;,&#xE4E5;,&#xE334;
153,&#xE701;,&#xE475;,&#xE13C;
154,&#xE677;,&#xE517;,&#xE03D;
155,&#xE67A;,&#xE508;,&#xE30A;
156,&#xE6DD;,&#xE5B5;,&#xE212;
157,&#xE72F;,[NG],[NG]
158,&#xE6B3;,&#xEAF1;,&#xE44B;
159,&#xE680;,&#xE47E;,&#xE208;
160,&#xE6F6;,&#xE5BE;,&#xE03E;
161,&#xE6FF;,&#xE505;,&#xE326;
162,&#xE6EB;,&#xE5AC;,&#xE225;
163,&#xE6E2;,&#xE522;,&#xE21C;
164,&#xE6E3;,&#xE523;,&#xE21D;
165,&#xE6E4;,&#xE524;,&#xE21E;
166,&#xE6E5;,&#xE525;,&#xE21F;
167,&#xE6E6;,&#xE526;,&#xE220;
168,&#xE6E7;,&#xE527;,&#xE221;
169,&#xE6E8;,&#xE528;,&#xE222;
170,&#xE6E9;,&#xE529;,&#xE223;
171,&#xE6EA;,&#xE52A;,&#xE224;
172,&#xE70B;,&#xE5AD;,&#xE24D;
173,&#xE6B8;,[ON],[ON]
174,&#xE66C;,&#xE4A6;,&#xE14F;
175,&#xE716;,&#xE5B8;,&#xE00C;
176,&#xE6AE;,&#xEB03;,&#xE301;
177,&#xE719;,&#xE4A1;,&#xE301;
178,&#xE6B1;,&#xE471;,&#xE057;
179,&#xE688;,&#xE588;,&#xE009;
180,&#xE6CE;,&#xEB08;,&#xE104;
181,&#xE65A;,&#xE59B;,[ﾎﾟｹﾍﾞﾙ]
182,&#xE665;,&#xE5DE;,&#xE153;
183,&#xE6AD;,,
184,&#xE685;,&#xE4CF;,&#xE112;
185,&#xE735;,&#xEB79;,[ﾘｻｲｸﾙ]
186,&#xE66F;,&#xE4AC;,&#xE043;
187,&#xE684;,&#xE59F;,&#xE314;
188,&#xE71B;,&#xE514;,&#xE034;
189,&#xE736;,&#xE559;,&#xE24F;
190,&#xE710;,&#xE509;,&#xE31C;
191,&#xE71C;,&#xE47C;,[砂時計]
192,&#xE73E;,&#xEA80;,&#xE157;
193,&#xE6DC;,&#xE518;,&#xE114;
194,&#xE734;,&#xE4F1;,&#xE315;
195,&#xE6E0;,&#xEB84;,&#xE210;
196,&#xE70E;,&#xE5B6;,&#xE006;
197,&#xE699;,&#xEB2B;,&#xE007;
198,&#xE702;,&#xE482;,&#xE021;
199,&#xE703;,&#xEB2F;,!?
200,&#xE704;,&#xEB30;,!!
201,&#xE709;,ー,ー
202,&#xE70A;,&#xEB31;,ー
203,&#xE66D;,&#xE46A;,&#xE14E;
204,&#xE67F;,&#xE47D;,&#xE30E;
205,&#xE6B7;,[SOON],[SOON]
206,&#xE6F7;,&#xE4BC;,&#xE123;
207,&#xE653;,&#xE4BA;,&#xE016;
208,&#xE656;,&#xE4B6;,&#xE018;
209,&#xE655;,&#xE4B7;,&#xE015;
210,&#xE658;,&#xE59A;,&#xE42A;
211,&#xE659;,&#xE4B9;,&#xE132;
212,&#xE657;,&#xEAAC;,&#xE013;
213,&#xE712;,&#xE4B8;,&#xE013;
214,&#xE654;,&#xE599;,&#xE014;
215,&#xE733;,&#xE46B;,&#xE115;
216,&#xE687;,&#xE596;,&#xE009;
217,&#xE67E;,&#xE49E;,&#xE125;
218,&#xE732;,&#xE54E;,&#xE537;
219,&#xE66E;,&#xE4A5;,&#xE428;
220,&#xE68E;,&#xE5A1;,&#xE20E;
221,&#xE690;,&#xE5A3;,&#xE20F;
222,&#xE68D;,&#xEAA5;,&#xE20C;
223,&#xE68F;,&#xE5A2;,&#xE20D;
224,&#xE743;,&#xE4E4;,&#xE304;
225,&#xE68A;,&#xE502;,&#xE12A;
226,&#xE65B;,&#xE4B5;,&#xE01E;
227,&#xE65E;,&#xE4B1;,&#xE01B;
228,&#xE65F;,&#xE4B1;,&#xE42E;
229,&#xE65C;,&#xE5BC;,&#xE434;
230,&#xE660;,&#xE4AF;,&#xE159;
231,&#xE65D;,&#xE4B0;,&#xE435;
232,&#xE71D;,&#xE4AE;,&#xE136;
233,&#xE661;,&#xEA82;,&#xE202;
234,&#xE6A3;,&#xE4B4;,&#xE01C;
235,&#xE662;,&#xE4B3;,&#xE01D;
236,&#xE737;,&#xE481;,&#xE252;
237,&#xE71F;,&#xE57A;,&#xE02D;
238,&#xE73F;,&#xEB7C;,&#xE43E;
239,&#xE63E;,&#xE488;,&#xE04A;
240,&#xE63F;,&#xE48D;,&#xE049;
241,&#xE640;,&#xE48C;,&#xE04B;
242,&#xE645;,&#xEAE8;,&#xE43C;
243,&#xE641;,&#xE485;,&#xE048;
244,&#xE643;,&#xE469;,&#xE443;
245,&#xE642;,&#xE487;,&#xE13D;
246,&#xE644;,&#xE598;,[霧]
247,&#xE69B;,&#xE47F;,&#xE20A;
248,&#xE718;,&#xE587;,[ﾚﾝﾁ]
249,&#xE6A4;,&#xE4C9;,&#xE033;
250,&#xE6D6;,&#xE57D;,&#xE215;
